,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
0,2344,華邦電,37959532,19510026,18449506,0,0,0,1000,67000,-66000,5647560,1926000,1658439,267561,6863999,1484000,5379999,24031066
1,2002,中鋼,47066904,29760535,17306369,0,0,0,3133000,155752,2977248,1464433,2234702,996269,1238433,979000,753000,226000,21748050
2,3711,日月光投控,30619698,11172482,19447216,0,0,0,55000,562154,-507154,305287,348287,284000,64287,407000,166000,241000,19245349
3,2890,永豐金,26555129,10471328,16083801,0,0,0,3000,12083,-9083,1494113,2403000,1088887,1314113,191000,11000,180000,17568831
4,2329,華泰,15089000,4376150,10712850,0,0,0,0,1000,-1000,-29794,275206,275000,206,21000,51000,-30000,10682056
5,2363,矽統,22153000,13870567,8282433,0,0,0,0,0,0,1017550,0,0,0,1242729,225179,1017550,9299983
6,0056,元大高股息,770600,2243000,-1472400,0,0,0,0,0,0,10735354,12000,0,12000,11899000,1175646,10723354,9262954
7,00715L,期街口布蘭特正2,5094000,1083000,4011000,0,0,0,0,0,0,4921000,0,0,0,5153000,232000,4921000,8932000
8,2498,宏達電,9048000,1949000,7099000,0,0,0,0,804,-804,606351,1555,1204,351,720000,114000,606000,7704547
9,6005,群益證,13448000,5830000,7618000,0,0,0,0,0,0,0,0,0,0,0,0,0,7618000
10,1605,華新,11555000,6098000,5457000,0,0,0,1000,0,1000,1654322,602283,224961,377322,1389000,112000,1277000,7112322
11,00642U,期元大S&P石油,451000,0,451000,0,0,0,0,0,0,6115000,0,0,0,6162000,47000,6115000,6566000
12,2401,凌陽,14373000,8823320,5549680,0,0,0,0,0,0,251584,434842,404925,29917,457863,236196,221667,5801264
13,2301,光寶科,13644083,8675876,4968207,0,0,0,566000,31117,534883,124291,77219,57928,19291,347000,242000,105000,5627381
14,6278,台表科,6032000,771040,5260960,0,0,0,0,0,0,144114,28114,60000,-31886,275000,99000,176000,5405074
15,2337,旺宏,13719000,11260002,2458998,0,0,0,2500000,35000,2465000,418739,281671,457518,-175847,763352,168766,594586,5342737
16,084231,聯電統一0B購01,0,0,0,0,0,0,0,0,0,5141000,0,0,0,5159000,18000,5141000,5141000
17,6269,台郡,5419409,1479000,3940409,0,0,0,1095000,2000,1093000,61499,239119,145000,94119,96380,129000,-32620,5094908
18,00891,中信關鍵半導體,485000,236189,248811,0,0,0,0,0,0,4513610,0,0,0,6461309,1947699,4513610,4762421
19,3545,敦泰,9387550,6545507,2842043,0,0,0,1338000,299000,1039000,91000,981000,885000,96000,24000,29000,-5000,3972043
20,036819,健策元富0C購01,0,0,0,0,0,0,0,0,0,3818000,0,0,0,4887000,1069000,3818000,3818000
21,2885,元大金,12729725,8964699,3765026,0,0,0,2000,0,2000,-65000,0,6000,-6000,1000,60000,-59000,3702026
