Open,Amount,Close,Volume,High,Low,ts
544.0,2892706000.0,542.0,5319,545.0,542.0,2021-05-17 09:01:00
544.0,727318000.0,546.0,1335,547.0,543.0,2021-05-17 09:02:00
546.0,545643000.0,548.0,997,549.0,546.0,2021-05-17 09:03:00
548.0,422614000.0,546.0,772,549.0,546.0,2021-05-17 09:04:00
547.0,219362000.0,545.0,402,547.0,545.0,2021-05-17 09:05:00
545.0,424147000.0,546.0,777,547.0,544.0,2021-05-17 09:06:00
545.0,449734000.0,548.0,822,548.0,545.0,2021-05-17 09:07:00
548.0,254541000.0,549.0,464,550.0,547.0,2021-05-17 09:08:00
550.0,679577000.0,551.0,1235,552.0,549.0,2021-05-17 09:09:00
552.0,209455000.0,550.0,380,552.0,550.0,2021-05-17 09:10:00
551.0,218389000.0,550.0,397,551.0,549.0,2021-05-17 09:11:00
549.0,85182000.0,550.0,155,550.0,549.0,2021-05-17 09:12:00
550.0,96114000.0,549.0,175,550.0,549.0,2021-05-17 09:13:00
549.0,46710000.0,550.0,85,550.0,549.0,2021-05-17 09:14:00
549.0,346479000.0,551.0,630,551.0,549.0,2021-05-17 09:15:00
551.0,214720000.0,551.0,390,552.0,550.0,2021-05-17 09:16:00
552.0,49061000.0,551.0,89,552.0,551.0,2021-05-17 09:17:00
551.0,178401000.0,549.0,324,552.0,549.0,2021-05-17 09:18:00
550.0,62152000.0,550.0,113,551.0,549.0,2021-05-17 09:19:00
549.0,119421000.0,550.0,217,551.0,549.0,2021-05-17 09:20:00
550.0,351745000.0,550.0,638,552.0,549.0,2021-05-17 09:21:00
550.0,105321000.0,551.0,191,552.0,550.0,2021-05-17 09:22:00
551.0,75582000.0,552.0,137,552.0,551.0,2021-05-17 09:23:00
552.0,68495000.0,553.0,124,553.0,551.0,2021-05-17 09:24:00
553.0,85671000.0,553.0,155,553.0,552.0,2021-05-17 09:25:00
553.0,220963000.0,554.0,399,555.0,552.0,2021-05-17 09:26:00
555.0,76557000.0,555.0,138,555.0,554.0,2021-05-17 09:27:00
555.0,102623000.0,554.0,185,555.0,554.0,2021-05-17 09:28:00
555.0,53254000.0,554.0,96,555.0,554.0,2021-05-17 09:29:00
554.0,118702000.0,554.0,214,555.0,554.0,2021-05-17 09:30:00
555.0,204730000.0,554.0,369,555.0,554.0,2021-05-17 09:31:00
555.0,182271000.0,554.0,329,555.0,553.0,2021-05-17 09:32:00
553.0,98424000.0,552.0,178,554.0,552.0,2021-05-17 09:33:00
553.0,62966000.0,552.0,114,553.0,552.0,2021-05-17 09:34:00
552.0,102837000.0,553.0,186,554.0,552.0,2021-05-17 09:35:00
554.0,42051000.0,553.0,76,554.0,553.0,2021-05-17 09:36:00
553.0,43180000.0,554.0,78,554.0,553.0,2021-05-17 09:37:00
553.0,117465000.0,555.0,212,555.0,553.0,2021-05-17 09:38:00
555.0,765755000.0,557.0,1378,557.0,554.0,2021-05-17 09:39:00
557.0,408295000.0,558.0,733,558.0,556.0,2021-05-17 09:40:00
557.0,166076000.0,557.0,298,558.0,557.0,2021-05-17 09:41:00
557.0,44514000.0,556.0,80,557.0,556.0,2021-05-17 09:42:00
556.0,46712000.0,556.0,84,557.0,555.0,2021-05-17 09:43:00
556.0,75112000.0,556.0,135,557.0,555.0,2021-05-17 09:44:00
